Image,RA,Dec,Roll,FOV,RMSE,Matches,Prob,T_solve,T_extract
..\test_data\2019-07-29T204726_Alt40_Azi-135_Try1.tiff,230.66732360656727,11.035675413762778,332.2815461646145,11.42694485702635,6.710398173859209,6,5.814732722763903e-10,8.155099999999749,1559.6082999999994
..\test_data\2019-07-29T204726_Alt40_Azi-45_Try1.tiff,172.36838329160003,57.648716438650006,303.42546713973843,11.425754993975456,7.296949384347995,10,1.6916568908329938e-19,53.56589999999972,1462.0724999999998
..\test_data\2019-07-29T204726_Alt40_Azi135_Try1.tiff,296.75827806346416,11.314043605282833,24.88652500083402,11.428950000451627,18.875220469074648,18,1.5254172898308687e-36,6.1473000000003,1381.5096000000003
..\test_data\2019-07-29T204726_Alt40_Azi45_Try1.tiff,355.2070736863704,58.151664799534956,53.30858833129876,11.430039993432386,12.042294099599696,16,4.177359308401041e-32,14.482199999999779,1336.3587000000007
..\test_data\2019-07-29T204726_Alt60_Azi-135_Try1.tiff,240.4628867061419,28.938922767562957,329.05415351181006,11.427677383883635,14.248837117319033,11,2.888707213745117e-20,18.424500000000066,1313.8741000000014
..\test_data\2019-07-29T204726_Alt60_Azi-45_Try1.tiff,212.2118298890522,64.20040988116875,268.32001192933654,11.427431654929421,7.997094965762704,10,2.1673898435820843e-19,15.083699999999922,1477.0810000000001
..\test_data\2019-07-29T204726_Alt60_Azi135_Try1.tiff,286.4354603493294,28.944473735749167,28.63329539355633,11.423912774672033,6.434688702824388,15,7.805317695592083e-29,7.478400000000107,1703.9954999999995
..\test_data\2019-07-29T204726_Alt60_Azi45_Try1.tiff,314.69333802843505,64.2244737633802,89.3783406814608,11.41764483568885,14.504182106190603,13,5.893514433261083e-23,9.31590000000071,1550.2678000000003
